,departure date,return date,departure time,arrival time,airline,price,duration,stops,layover,return departure time,return arrival time,return airline,return price,return duration,return stops
0,16/08/2019,22/08/2019,0:50,5:40,Scoot,208,4h 50m,(Direct),"2h 55m in KUL
Stopover 2h 55m in KUL",0:50,5:40,Scoot,0,4h 50m,(Direct)
1,16/08/2019,22/08/2019,12:10,17:00,Scoot,208,4h 50m,(Direct),"2h 55m in KUL
Stopover 2h 55m in KUL",12:10,17:00,Scoot,0,4h 50m,(Direct)
2,16/08/2019,22/08/2019,7:00,11:50,Jetstar Asia,222,4h 50m,(Direct),"2h 55m in KUL
Stopover 2h 55m in KUL",7:00,11:50,Jetstar Asia,0,4h 50m,(Direct)
0,17/08/2019,23/08/2019,7:00,11:50,Jetstar Asia,200,4h 50m,(Direct),"3h 5m in KUL
Stopover 3h 5m in KUL",7:00,11:50,Jetstar Asia,0,4h 50m,(Direct)
1,17/08/2019,23/08/2019,0:50,5:40,Scoot,211,4h 50m,(Direct),"3h 5m in KUL
Stopover 3h 5m in KUL",0:50,5:40,Scoot,0,4h 50m,(Direct)
2,17/08/2019,23/08/2019,6:10,11:05,Scoot,211,4h 55m,(Direct),"3h 5m in KUL
Stopover 3h 5m in KUL",6:10,11:05,Scoot,0,4h 55m,(Direct)
0,18/08/2019,24/08/2019,1:10,6:00,Jetstar Asia,200,4h 50m,(Direct),"9h 30m in KUL
Stopover 9h 30m in KUL",1:10,6:00,Jetstar Asia,0,4h 50m,(Direct)
1,18/08/2019,24/08/2019,7:00,11:50,Jetstar Asia,200,4h 50m,(Direct),"9h 30m in KUL
Stopover 9h 30m in KUL",7:00,11:50,Jetstar Asia,0,4h 50m,(Direct)
2,18/08/2019,24/08/2019,0:50,5:40,Scoot,211,4h 50m,(Direct),"9h 30m in KUL
Stopover 9h 30m in KUL",0:50,5:40,Scoot,0,4h 50m,(Direct)
0,19/08/2019,25/08/2019,0:50,5:40,Scoot,199,4h 50m,(Direct),"13h 20m in KUL
Stopover 13h 20m in KUL",0:50,5:40,Scoot,0,4h 50m,(Direct)
1,19/08/2019,25/08/2019,7:00,11:50,Jetstar Asia,200,4h 50m,(Direct),"13h 20m in KUL
Stopover 13h 20m in KUL",7:00,11:50,Jetstar Asia,0,4h 50m,(Direct)
2,19/08/2019,25/08/2019,8:50,13:40,Scoot,230,4h 50m,(Direct),"13h 20m in KUL
Stopover 13h 20m in KUL",8:50,13:40,Scoot,0,4h 50m,(Direct)
0,20/08/2019,26/08/2019,0:50,5:40,Scoot,199,4h 50m,(Direct),"11h 55m in KUL
Stopover 11h 55m in KUL",0:50,5:40,Scoot,0,4h 50m,(Direct)
1,20/08/2019,26/08/2019,8:50,13:40,Scoot,199,4h 50m,(Direct),"11h 55m in KUL
Stopover 11h 55m in KUL",8:50,13:40,Scoot,0,4h 50m,(Direct)
2,20/08/2019,26/08/2019,6:10,11:05,Scoot,199,4h 55m,(Direct),"11h 55m in KUL
Stopover 11h 55m in KUL",6:10,11:05,Scoot,0,4h 55m,(Direct)
0,21/08/2019,27/08/2019,12:10,17:00,Scoot,199,4h 50m,(Direct),"1h 45m in KUL
Stopover 1h 45m in KUL",12:10,17:00,Scoot,0,4h 50m,(Direct)
1,21/08/2019,27/08/2019,1:10,6:00,Jetstar Asia,200,4h 50m,(Direct),"1h 45m in KUL
Stopover 1h 45m in KUL",1:10,6:00,Jetstar Asia,0,4h 50m,(Direct)
2,21/08/2019,27/08/2019,7:00,11:50,Jetstar Asia,200,4h 50m,(Direct),"1h 45m in KUL
Stopover 1h 45m in KUL",7:00,11:50,Jetstar Asia,0,4h 50m,(Direct)
